"1887 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Jim Fogarty,Philadelphia,82,Top 25
Batting Average,Cap Anson,Chicago,.347,Top 25
Doubles,Dan Brouthers,Detroit,36,Top 25
Hits,Sam Thompson,Detroit,203,Top 25
Home Runs,Billy O'Brien,Washington,19,Top 25
On Base Percentage,Dan Brouthers,Detroit,.426,Top 25
RBI,Sam Thompson,Detroit,166,Top 25
Runs,Dan Brouthers,Detroit,153,Top 25
Slugging Average,Sam Thompson,Detroit,.571,Top 25
Total Bases,Sam Thompson,Detroit,311,Top 25
Triples,Sam Thompson,Detroit,23,Top 25
Statistic,Name(s),Team(s),#,Top 25
