"1990 National League Team Review
Pitching Statistics League Leaderboard"
Statistic,Team,#
Complete Games,Los Angeles,29
ERA,Montreal,3.37
Fewest Hits Allowed,Cincinnati,"1,338"
Fewest Home Runs Allowed,St. Louis,98
Fewest Walks Allowed,Pittsburgh,413
Saves,Cincinnati,50
Montreal
Shutouts,New York,14
Strikeouts,New York,"1,217"
"Seasonal Events: All-Star Game | Draft | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: A.L. Leaderboard | Retirements | Rookies List
Average Salary: $578,930.00
Minimum Salary: $100,000.00"
