Year,Statistic,Name,Team,#
1893,Base on Balls,Jack Crooks,St. Louis,121
1893,Batting Average,Hugh Duffy,Boston,.363
1893,Doubles,Sam Thompson,Philadelphia,37
1893,Hits,Sam Thompson,Philadelphia,222
1893,Home Runs,Ed Delahanty,Philadelphia,19
1893,On Base Percentage,Billy Hamilton,Philadelphia,.490
1893,RBI,Ed Delahanty,Philadelphia,146
1893,Runs,Herman Long,Boston,149
1893,Slugging Average,Ed Delahanty,Philadelphia,.583
1893,Stolen Bases,Tom Brown,Louisville,66
1893,Total Bases,Ed Delahanty,Philadelphia,347
1893,Triples,Perry Werden,St. Louis,29
2022,Base on Balls,Juan Soto,Washington Nationals,135
2022,Batting Average,Jeff McNeil,New York Mets,.326
2022,Doubles,Freddie Freeman,Los Angeles Dodgers,44
2022,Hits,Freddie Freeman,Los Angeles Dodgers,11
2022,Home Runs,Kyle Schwarber,Philadelphia Phillies,46
2022,On Base Percentage,Freddie Freeman,Los Angeles Dodgers,.407
2022,RBI,Pete Alonso,New York Mets,131
2022,Runs,Mookie Betts,Los Angeles Dodgers,117
2022,Freddie Freeman,Los Angeles Dodgers,117,
2022,Slugging Average,Paul Goldschmidt,St. Louis Cardinals,.578
2022,Stolen Bases,Jon Berti,Miami Marlins,41
2022,Total Bases,Austin Riley,Atlanta Braves,325
2022,Triples,Gavin Lux,Los Angeles Dodgers,7
2022,Brandon Nimmo,New York Mets,7,
1910,Base on Balls,Miller Huggins,St. Louis,116
1910,Batting Average,Sherry Magee,Philadelphia,.331
1910,Doubles,Bobby Byrne,Pittsburgh,43
1910,Hits,Bobby Byrne,Pittsburgh,178
1910,Honus Wagner,Pittsburgh,,
1910,Home Runs,Fred Beck,Boston,10
1910,Frank Schulte,Chicago,,
1910,On Base Percentage,Sherry Magee,Philadelphia,.445
1910,RBI,Sherry Magee,Philadelphia,123
1910,Runs,Sherry Magee,Philadelphia,110
1910,Slugging Average,Sherry Magee,Philadelphia,.507
1910,Stolen Bases,Bob Bescher,Cincinnati,70
1910,Total Bases,Sherry Magee,Philadelphia,263
1910,Triples,Mike Mitchell,Cincinnati,18
1960,Base on Balls,Richie Ashburn,Chicago,116
1960,Batting Average,Dick Groat,Pittsburgh,.325
1960,Doubles,Vada Pinson,Cincinnati,37
1960,Hits,Willie Mays,San Francisco,190
1960,Home Runs,Ernie Banks,Chicago,41
1960,On Base Percentage,Richie Ashburn,Chicago,.416
1960,RBI,Hank Aaron,Milwaukee,126
1960,Runs,Bill Bruton,Milwaukee,112
1960,Slugging Average,Frank Robinson,Cincinnati,.595
1960,Stolen Bases,Maury Wills,Los Angeles,50
1960,Total Bases,Hank Aaron,Milwaukee,334
1960,Triples,Bill Bruton,Milwaukee,13
2010,Base on Balls,Prince Fielder,Milwaukee,114
2010,Batting Average,Carlos Gonzalez,Colorado,.336
2010,Doubles,Jayson Werth,Philadelphia,46
2010,Hits,Carlos Gonzalez,Colorado,197
2010,Home Runs,Albert Pujols,St. Louis,42
2010,On Base Percentage,Joey Votto,Cincinnati,.424
2010,RBI,Albert Pujols,St. Louis,118
2010,Runs,Albert Pujols,St. Louis,115
2010,Slugging Average,Joey Votto,Cincinnati,.600
2010,Stolen Bases,Michael Bourn,Houston,52
2010,Total Bases,Carlos Gonzalez,Colorado,351
2010,Triples,Dexter Fowler,Colorado,14
2005,Base on Balls,Brian Giles,San Diego,119
2005,Batting Average,Derrek Lee,Chicago,.335
2005,Doubles,Derrek Lee,Chicago,50
2005,Hits,Derrek Lee,Chicago,199
2005,Home Runs,Andruw Jones,Atlanta,51
2005,On Base Percentage,Todd Helton,Colorado,.445
2005,RBI,Andruw Jones,Atlanta,128
2005,Runs,Albert Pujols,St. Louis,129
2005,Slugging Average,Derrek Lee,Chicago,.662
2005,Stolen Bases,Jose Reyes,New York,60
2005,Total Bases,Derrek Lee,Chicago,393
2005,Triples,Jose Reyes,New York,17
1905,Base on Balls,Miller Huggins,Cincinnati,103
1905,Batting Average,Cy Seymour,Cincinnati,.377
1905,Doubles,Cy Seymour,Cincinnati,40
1905,Hits,Cy Seymour,Cincinnati,219
1905,Home Runs,Fred Odwell,Cincinnati,9
1905,On Base Percentage,Frank Chance,Chicago,.450
1905,RBI,Cy Seymour,Cincinnati,121
1905,Runs,Mike Donlin,New York,124
1905,Slugging Average,Cy Seymour,Cincinnati,.325
1905,Stolen Bases,Art Devlin,New York,59
1905,Billy Maloney,Chicago,,
1905,Total Bases,Cy Seymour,Cincinnati,325
1905,Triples,Cy Seymour,Cincinnati,21
1988,Base on Balls,Will Clark,San Francisco,100
1988,Batting Average,Tony Gwynn,San Diego,.313
1988,Doubles,Andres Galarraga,Montreal,42
1988,Hits,Andres Galarraga,Montreal,184
1988,Home Runs,Darryl Strawberry,New York,39
1988,On Base Percentage,Kal Daniels,Cincinnati,.400
1988,RBI,Will Clark,San Francisco,109
1988,Runs,Brett Butler,San Francisco,109
1988,Slugging Average,Darryl Strawberry,New York,.545
1988,Stolen Bases,Vince Coleman,St. Louis,81
1988,Total Bases,Andres Galarraga,Montreal,329
1988,Triples,Andy Van Slyke,Pittsburgh,15
1975,Base on Balls,Joe Morgan,Cincinnati,132
1975,Batting Average,Bill Madlock,Chicago,.354
1975,Doubles,Pete Rose,Cincinnati,47
1975,Hits,Dave Cash,Philadelphia,213
1975,Home Runs,Mike Schmidt,Philadelphia,38
1975,On Base Percentage,Joe Morgan,Cincinnati,.471
1975,RBI,Greg Luzinski,Philadelphia,120
1975,Runs,Pete Rose,Cincinnati,112
1975,Slugging Average,Dave Parker,Pittsburgh,.541
1975,Stolen Bases,Davey Lopes,Los Angeles,77
1975,Total Bases,Greg Luzinski,Philadelphia,322
1975,Triples,Ralph Garr,Atlanta,11
1969,Base on Balls,Jimmy Wynn,Houston,148
1969,Batting Average,Pete Rose,Cincinnati,.348
1969,Doubles,Matty Alou,Pittsburgh,41
1969,Hits,Matty Alou,Pittsburgh,231
1969,Home Runs,Willie McCovey,San Francisco,45
1969,On Base Percentage,Willie McCovey,San Francisco,.458
1969,RBI,Willie McCovey,San Francisco,126
1969,Runs,Bobby Bonds,San Francisco,120
1969,Pete Rose,Cincinnati,,
1969,Slugging Average,Willie McCovey,San Francisco,.656
1969,Stolen Bases,Lou Brock,St. Louis,53
1969,Total Bases,Hank Aaron,Atlanta,332
1969,Triples,Roberto Clemente,Pittsburgh,12
1994,Base on Balls,Barry Bonds,San Francisco,74
1994,Batting Average,Tony Gwynn,San Diego,.394
1994,Doubles,Craig Biggio,Houston,44
1994,Larry Walker,Montreal,,
1994,Hits,Tony Gwynn,San Diego,165
1994,Home Runs,Matt Williams,San Francisco,43
1994,On Base Percentage,Jeff Bagwell,Houston,.461
1994,RBI,Jeff Bagwell,Houston,116
1994,Runs,Jeff Bagwell,Houston,104
1994,Slugging Average,Jeff Bagwell,Houston,.750
1994,Stolen Bases,Craig Biggio,Houston,39
1994,Total Bases,Jeff Bagwell,Houston,300
1994,Triples,Brett Butler,Los Angeles,9
1994,Darren Lewis,San Francisco,,
1886,Base on Balls,George Gore,Chicago,102
1886,Batting Average,King Kelly,Chicago,.388
1886,Doubles,Dan Brouthers,Detroit,40
1886,Hits,Hardy Richardson,Detroit,189
1886,Home Runs,Dan Brouthers,Detroit,11
1886,Hardy Richardson,Detroit,,
1886,On Base Percentage,King Kelly,Chicago,.483
1886,RBI,Cap Anson,Chicago,147
1886,Runs,King Kelly,Chicago,155
1886,Slugging Average,Dan Brouthers,Detroit,.581
1886,Total Bases,Dan Brouthers,Detroit,284
1886,Triples,Roger Connor,New York,20
1919,Base on Balls,George Burns,New York,82
1919,Batting Average,Edd Roush,Cincinnati,.321
1919,Doubles,Ross Youngs,New York,31
1919,Hits,Ivy Olson,Brooklyn,164
1919,Home Runs,Gavvy Cravath,Philadelphia,12
1919,On Base Percentage,George Burns,New York,.396
1919,RBI,Hy Myers,Brooklyn,73
1919,Runs,George Burns,New York,86
1919,Slugging Average,Hy Myers,Brooklyn,.436
1919,Stolen Bases,George Burns,New York,40
1919,Total Bases,Hy Myers,Brooklyn,223
1919,Triples,Hy Myers,Brooklyn,14
1919,Billy Southworth,Pittsburgh,,
1947,Base on Balls,Hank Greenberg,Pittsburgh,104
1947,Pee Wee Reese,Brooklyn,,
1947,Batting Average,Harry Walker,St. Louis,.363
1947,Doubles,Eddie Miller,Cincinnati,38
1947,Hits,Tommy Holmes,Boston,191
1947,Home Runs,Ralph Kiner,Pittsburgh,51
1947,Johnny Mize,New York,,
1947,On Base Percentage,Augie Galan,Cincinnati,.449
1947,RBI,Johnny Mize,New York,138
1947,Runs,Johnny Mize,New York,137
1947,Slugging Average,Ralph Kiner,Pittsburgh,.639
1947,Stolen Bases,Jackie Robinson,Brooklyn,29
1947,Total Bases,Ralph Kiner,Pittsburgh,361
1947,Triples,Harry Walker,St. Louis,16
2019,Base on Balls,Rhys Hoskins,Philadelphia Phillies,116
2019,Batting Average,Christian Yelich,Milwaukee Brewers,.329
2019,Doubles,Anthony Rendon,Washington Nationals,44
2019,Corey Seager,Los Angeles Dodgers,44,
2019,Hits,Ozzie Albies,Atlanta Braves,189
2019,Home Runs,Pete Alonso,New York Mets,53
2019,On Base Percentage,Christian Yelich,Milwaukee Brewers,.429
2019,RBI,Anthony Rendon,Washington Nationals,126
2019,Runs,Ronald Acuna Jr.,Atlanta Braves,127
2019,Slugging Average,Christian Yelich,Milwaukee Brewers,.671
2019,Stolen Bases,Ronald Acuna Jr.,Atlanta Braves,37
2019,Total Bases,Cody Bellinger,Los Angeles Dodgers,351
2019,Triples,Eduardo Escobar,Arizona Diamondbacks,10
1937,Base on Balls,Mel Ott,New York,102
1937,Batting Average,Joe Medwick,St. Louis,.374
1937,Doubles,Joe Medwick,St. Louis,56
1937,Hits,Joe Medwick,St. Louis,237
1937,Home Runs,Joe Medwick,St. Louis,31
1937,On Base Percentage,Mel Ott,New York,.442
1937,Joe Medwick,St. Louis,,
1937,RBI,Joe Medwick,St. Louis,154
1937,Runs,Joe Medwick,St. Louis,111
1937,Slugging Average,Joe Medwick,St. Louis,.641
1937,Stolen Bases,Augie Galan,Chicago,23
1937,Total Bases,Joe Medwick,St. Louis,406
1937,Triples,Arky Vaughan,Pittsburgh,17
1970,Base on Balls,Willie McCovey,San Francisco,137
1970,Batting Average,Rico Carty,Atlanta,.366
1970,Doubles,Wes Parker,Los Angeles,47
1970,Hits,Pete Rose,Cincinnati,205
1970,Billy Williams,Chicago,,
1970,Home Runs,Johnny Bench,Cincinnati,45
1970,On Base Percentage,Rico Carty,Atlanta,.456
1970,RBI,Johnny Bench,Cincinnati,148
1970,Runs,Billy Williams,Chicago,137
1970,Slugging Average,Willie McCovey,San Francisco,.612
1970,Stolen Bases,Bobby Tolan,Cincinnati,57
1970,Total Bases,Billy Williams,Chicago,373
1970,Triples,Willie Davis,Los Angeles,16
1900,Base on Balls,Roy Thomas,Philadelphia,115
1900,Batting Average,Honus Wagner,Pittsburgh,.381
1900,Doubles,Honus Wagner,Pittsburgh,45
1900,Hits,Willie Keeler,Brooklyn,204
1900,Home Runs,Herman Long,Boston,12
1900,On Base Percentage,John McGraw,St. Louis,.505
1900,RBI,Elmer Flick,Philadelphia,110
1900,Runs,Roy Thomas,Philadelphia,132
1900,Slugging Average,Honus Wagner,Pittsburgh,.573
1900,Stolen Bases,Patsy Donovan,St. Louis,45
1900,George Van Haltren,New York,,
1900,Total Bases,Honus Wagner,Pittsburgh,302
1900,Triples,Honus Wagner,Pittsburgh,22
2000,Base on Balls,Barry Bonds,San Francisco,117
2000,Batting Average,Todd Helton,Colorado,.372
2000,Doubles,Todd Helton,Colorado,59
2000,Hits,Todd Helton,Colorado,216
2000,Home Runs,Sammy Sosa,Chicago,50
2000,On Base Percentage,Todd Helton,Colorado,.463
2000,RBI,Todd Helton,Colorado,147
2000,Runs,Jeff Bagwell,Houston,152
2000,Slugging Average,Todd Helton,Colorado,.698
2000,Stolen Bases,Luis Castillo,Florida,62
2000,Total Bases,Todd Helton,Colorado,405
2000,Triples,Tony Womack,Arizona,14
1932,Base on Balls,Mel Ott,New York,100
1932,Batting Average,Lefty O'Doul,Brooklyn,.368
1932,Doubles,Paul Waner,Pittsburgh,62
1932,Hits,Chuck Klein,Philadelphia,226
1932,Home Runs,Chuck Klein,Philadelphia,38
1932,Mel Ott,New York,,
1932,On Base Percentage,Mel Ott,New York,.424
1932,RBI,Don Hurst,Philadelphia,143
1932,Runs,Chuck Klein,Philadelphia,152
1932,Slugging Average,Chuck Klein,Philadelphia,.646
1932,Stolen Bases,Chuck Klein,Philadelphia,20
1932,Total Bases,Chuck Klein,Philadelphia,420
1932,Triples,Babe Herman,Cincinnati,19
1942,Base on Balls,Mel Ott,New York,109
1942,Batting Average,Ernie Lombardi *,Boston,.330
1942,Doubles,Marty Marion,St. Louis,38
1942,Hits,Enos Slaughter,St. Louis,188
1942,Home Runs,Mel Ott,New York,30
1942,On Base Percentage,Elbie Fletcher,Pittsburgh,.417
1942,RBI,Johnny Mize,New York,110
1942,Runs,Mel Ott,New York,118
1942,Slugging Average,Johnny Mize,New York,.521
1942,Stolen Bases,Pete Reiser,Brooklyn,20
1942,Total Bases,Enos Slaughter,St. Louis,292
1942,Triples,Enos Slaughter,St. Louis,17
1883,Base on Balls,Tom York,Cleveland,37
1883,Batting Average,Dan Brouthers,Buffalo,.374
1883,Doubles,Ned Williamson,Chicago,49
1883,Hits,Dan Brouthers,Buffalo,159
1883,Home Runs,Buck Ewing,New York,10
1883,On Base Percentage,Dan Brouthers,Buffalo,.397
1883,RBI,Dan Brouthers,Buffalo,97
1883,Runs,Joe Hornung,Boston,107
1883,Slugging Average,Dan Brouthers,Buffalo,.572
1883,Total Bases,Dan Brouthers,Buffalo,243
1883,Triples,Dan Brouthers,Buffalo,17
1991,Base on Balls,Brett Butler,Los Angeles,108
1991,Batting Average,Terry Pendleton,Atlanta,.319
1991,Doubles,Bobby Bonilla,Pittsburgh,44
1991,Hits,Terry Pendleton,Atlanta,187
1991,Home Runs,Howard Johnson,New York,38
1991,On Base Percentage,Barry Bonds,Pittsburgh,.419
1991,RBI,Howard Johnson,New York,117
1991,Runs,Brett Butler,Los Angeles,112
1991,Slugging Average,Will Clark,San Francisco,.536
1991,Stolen Bases,Marquis Grissom,Montreal,76
1991,Total Bases,Will Clark,San Francisco,303
1991,Terry Pendleton,Atlanta,,
1991,Triples,Ray Lankford,St. Louis,15
1909,Base on Balls,Fred Clarke,Pittsburgh,80
1909,Batting Average,Honus Wagner,Pittsburgh,.339
1909,Doubles,Honus Wagner,Pittsburgh,39
1909,Hits,Larry Doyle,New York,172
1909,Home Runs,Red Murray,New York,7
1909,On Base Percentage,Honus Wagner,Pittsburgh,.420
1909,RBI,Honus Wagner,Pittsburgh,100
1909,Runs,Tommy Leach,Pittsburgh,126
1909,Slugging Average,Honus Wagner,Pittsburgh,.489
1909,Stolen Bases,Bob Bescher,Cincinnati,54
1909,Total Bases,Honus Wagner,Pittsburgh,242
1909,Triples,Mike Mitchell,Pittsburgh,17
1896,Base on Balls,Billy Hamilton,Boston,110
1896,Batting Average,Jesse Burkett,Cleveland,.410
1896,Doubles,Ed Delahanty,Philadelphia,44
1896,Hits,Jesse Burkett,Cleveland,240
1896,Home Runs,Ed Delahanty,Philadelphia,13
1896,Bill Joyce,Washington,,
1896,On Base Percentage,Billy Hamilton,Boston,.478
1896,RBI,Ed Delahanty,Philadelphia,126
1896,Runs,Jesse Burkett,Cleveland,160
1896,Slugging Average,Ed Delahanty,Philadelphia,.631
1896,Stolen Bases,Joe Kelley,Baltimore,87
1896,Total Bases,Jesse Burkett,Cleveland,317
1896,Triples,Tom McCreery,Louisville,21
1896,George Van Haltren,New York,,
1984,Base on Balls,Gary Matthews,Chicago,103
1984,Batting Average,Tony Gwynn,San Diego,.351
1984,Doubles,Tim Raines,Montreal,38
1984,Johnny Ray,Pittsburgh,,
1984,Hits,Tony Gwynn,San Diego,213
1984,Home Runs,Dale Murphy,Atlanta,36
1984,Mike Schmidt,Philadelphia,,
1984,On Base Percentage,Gary Matthews,Chicago,.417
1984,RBI,Gary Carter,Montreal,106
1984,Mike Schmidt,Philadelphia,,
1984,Runs,Ryne Sandberg,Chicago,114
1984,Slugging Average,Dale Murphy,Atlanta,.547
1984,Stolen Bases,Tim Raines,Montreal,75
1984,Total Bases,Dale Murphy,Atlanta,332
1984,Triples,Juan Samuel,Philadelphia,19
1984,Ryne Sandberg,Chicago,,
1979,Base on Balls,Mike Schmidt,Philadelphia,120
1979,Batting Average,Keith Hernandez,St. Louis,.344
1979,Doubles,Keith Hernandez,St. Louis,48
1979,Hits,Garry Templeton,St. Louis,211
1979,Home Runs,Dave Kingman,Chicago,48
1979,On Base Percentage,Keith Hernandez,St. Louis,.421
1979,RBI,Dave Winfield,San Diego,118
1979,Runs,Keith Hernandez,St. Louis,116
1979,Slugging Average,Dave Kingman,Chicago,.613
1979,Stolen Bases,Omar Moreno,Pittsburgh,77
1979,Total Bases,Dave Winfield,San Diego,333
1979,Triples,Garry Templeton,St. Louis,19
1927,Base on Balls,Rogers Hornsby,Boston,86
1927,Batting Average,Paul Waner,Pittsburgh,.380
1927,Doubles,Riggs Stephenson,Chicago,46
1927,Hits,Paul Waner,Pittsburgh,237
1927,Home Runs,Cy Williams,Philadelphia,30
1927,Hack Wilson,Chicago,,
1927,On Base Percentage,Rogers Hornsby,New York,.448
1927,RBI,Paul Waner,Pittsburgh,131
1927,Runs,Rogers Hornsby,New York,133
1927,Lloyd Waner,Pittsburgh,,
1927,Slugging Average,Chick Hafey,St. Louis,.590
1927,Stolen Bases,Frankie Frisch,St. Louis,48
1927,Total Bases,Paul Waner,Pittsburgh,342
1927,Triples,Paul Waner,Pittsburgh,18
2009,Base on Balls,Adrian Gonzalez,San Diego,119
2009,Batting Average,Hanley Ramirez,Florida,.342
2009,Doubles,Miguel Tejada,Houston,46
2009,Hits,Ryan Braun,Milwaukee,203
2009,Home Runs,Albert Pujols,St. Louis,47
2009,On Base Percentage,Albert Pujols,St. Louis,.443
2009,RBI,Prince Fielder,Milwaukee,141
2009,Ryan Howard,Philadelphia,,
2009,Runs,Albert Pujols,St. Louis,124
2009,Slugging Average,Albert Pujols,St. Louis,.658
2009,Stolen Bases,Michael Bourn,Houston,61
2009,Total Bases,Albert Pujols,St. Louis,374
2009,Triples,Shane Victorino,Philadelphia,13
1957,Base on Balls,Richie Ashburn,Philadelphia,94
1957,Johnny Temple,Cincinnati,,
1957,Batting Average,Stan Musial,St. Louis,.351
1957,Doubles,Don Hoak,Cincinnati,39
1957,Hits,Red Schoendienst,New York,200
1957,Home Runs,Hank Aaron,Milwaukee,44
1957,On Base Percentage,Stan Musial,St. Louis,.428
1957,RBI,Hank Aaron,Milwaukee,132
1957,Runs,Hank Aaron,Milwaukee,118
1957,Slugging Average,Willie Mays,New York,.626
1957,Stolen Bases,Willie Mays,New York,38
1957,Total Bases,Hank Aaron,Milwaukee,369
1957,Triples,Willie Mays,New York,20
2015,Base on Balls,Joey Votto,Cincinnati,143
2015,Batting Average,Dee Gordon,Miami,.333
2015,Doubles,Matt Carpenter,St. Louis,44
2015,Hits,Dee Gordon,Miami,205
2015,Home Runs,Nolan Arenado,Colorado,42
2015,Bryce Harper,Washington,,
2015,On Base Percentage,Bryce Harper,Washington,.460
2015,RBI,Nolan Arenado,Colorado,130
2015,Runs,Bryce Harper,Washington,118
2015,Slugging Average,Bryce Harper,Washington,.649
2015,Stolen Bases,Dee Gordon,Miami,58
2015,Total Bases,Nolan Arenado,Colorado,354
2015,Triples,David Peralta,Arizona,10
1965,Base on Balls,Joe Morgan,Houston,97
1965,Batting Average,Roberto Clemente,Pittsburgh,.329
1965,Doubles,Hank Aaron,Milwaukee,40
1965,Hits,Pete Rose,Cincinnati,209
1965,Home Runs,Willie Mays,San Francisco,52
1965,On Base Percentage,Willie Mays,San Francisco,.399
1965,RBI,Deron Johnson,Cincinnati,130
1965,Runs,Tommy Harper,Cincinnati,126
1965,Slugging Average,Willie Mays,San Francisco,.645
1965,Stolen Bases,Maury Wills,Los Angeles,94
1965,Total Bases,Willie Mays,San Francisco,360
1965,Triples,Johnny Callison,Philadelphia,16
1998,Base on Balls,Mark McGwire,St. Louis,162
1998,Batting Average,Larry Walker,Colorado,.363
1998,Doubles,Craig Biggio,Houston,51
1998,Hits,Dante Bichette,Colorado,219
1998,Home Runs,Mark McGwire,St. Louis,70
1998,On Base Percentage,Mark McGwire,St. Louis,.473
1998,RBI,Sammy Sosa,Chicago,158
1998,Runs,Sammy Sosa,Chicago,134
1998,Slugging Average,Mark McGwire,St. Louis,.752
1998,Stolen Bases,Tony Womack,Pittsburgh,58
1998,Total Bases,Sammy Sosa,Chicago,416
1998,Triples,David Dellucci,Arizona,12
1915,Base on Balls,Gavvy Cravath,Philadelphia,86
1915,Batting Average,Larry Doyle,New York,.320
1915,Doubles,Larry Doyle,New York,40
1915,Hits,Larry Doyle,New York,189
1915,Home Runs,Gavvy Cravath,Philadelphia,24
1915,On Base Percentage,Gavvy Cravath,Philadelphia,.393
1915,RBI,Gavvy Cravath,Philadelphia,115
1915,Runs,Gavvy Cravath,Philadelphia,89
1915,Slugging Average,Gavvy Cravath,Philadelphia,.510
1915,Stolen Bases,Max Carey,Pittsburgh,36
1915,Total Bases,Gavvy Cravath,Philadelphia,266
1915,Triples,Tom Long,St. Louis,25
1877,Base on Balls,Jim O'Rourke,Boston,20
1877,Batting Average,Deacon White,Boston,.387
1877,Doubles,Cap Anson,Chicago,19
1877,Hits,Deacon White,Boston,103
1877,Home Runs,Lip Pike,Cincinnati,4
1877,On Base Percentage,Jim O'Rourke,Boston,.407
1877,RBI,Deacon White,Boston,49
1877,Runs,Jim O'Rourke,Boston,68
1877,Slugging Average,Deacon White,Boston,.545
1877,Total Bases,Deacon White,Boston,145
1877,Triples,Deacon White,Boston,11
1966,Base on Balls,Ron Santo,Chicago,95
1966,Batting Average,Matty Alou,Pittsburgh,.342
1966,Doubles,Johnny Callison,Philadelphia,40
1966,Hits,Felipe Alou,Atlanta,218
1966,Home Runs,Hank Aaron,Atlanta,44
1966,On Base Percentage,Ron Santo,Chicago,.417
1966,RBI,Hank Aaron,Atlanta,127
1966,Runs,Felipe Alou,Atlanta,122
1966,Slugging Average,Dick Allen,Philadelphia,.632
1966,Stolen Bases,Lou Brock,St. Louis,74
1966,Total Bases,Felipe Alou,Atlanta,355
1966,Triples,Tim McCarver,St. Louis,13
1916,Base on Balls,Heinie Groh,Cincinnati,84
1916,Batting Average,Hal Chase,Cincinnati,.339
1916,Doubles,Bert Niehoff,Philadelphia,42
1916,Hits,Hal Chase,Cincinnati,184
1916,Home Runs,Dave Robertson,New York,12
1916,Cy Williams,Chicago,,
1916,On Base Percentage,Gavvy Cravath,Philadelphia,.379
1916,RBI,Heinie Zimmerman,Chicago,83
1916,Runs,George Burns,New York,105
1916,Slugging Average,Zack Wheat,Brooklyn,.461
1916,Stolen Bases,Max Carey,Pittsburgh,63
1916,Total Bases,Zack Wheat,Brooklyn,262
1916,Triples,Bill Hinchman,Pittsburgh,16
1889,Base on Balls,Mike Tiernan,New York,96
1889,Batting Average,Dan Brouthers,Boston,.373
1889,Doubles,King Kelly,Boston,41
1889,Hits,Jack Glasscock,Indianapolis,205
1889,Home Runs,Sam Thompson,Philadelphia,20
1889,On Base Percentage,Fred Carroll,Pittsburgh,.486
1889,RBI,Roger Connor,New York,130
1889,Runs,Mike Tiernan,New York,147
1889,Slugging Average,Roger Connor,New York,.528
1889,Total Bases,Jimmy Ryan,Chicago,297
1889,Triples,Walt Wilmot,Washington,19
1948,Base on Balls,Bob Elliott,Boston,131
1948,Batting Average,Stan Musial,St. Louis,.376
1948,Doubles,Stan Musial,St. Louis,46
1948,Hits,Stan Musial,St. Louis,230
1948,Home Runs,Ralph Kiner,Pittsburgh,40
1948,Johnny Mize,New York,,
1948,On Base Percentage,Stan Musial,St. Louis,.450
1948,RBI,Stan Musial,St. Louis,131
1948,Runs,Stan Musial,St. Louis,135
1948,Slugging Average,Stan Musial,St. Louis,.702
1948,Stolen Bases,Richie Ashburn,Philadelphia,32
1948,Total Bases,Stan Musial,St. Louis,429
1948,Triples,Stan Musial,St. Louis,18
1938,Base on Balls,Dolph Camilli,Brooklyn,119
1938,Batting Average,Ernie Lombardi,Cincinnati,.342
1938,Doubles,Joe Medwick,St. Louis,47
1938,Hits,Frank McCormick,Cincinnati,209
1938,Home Runs,Mel Ott,New York,36
1938,On Base Percentage,Mel Ott,New York,.442
1938,RBI,Joe Medwick,St. Louis,122
1938,Runs,Mel Ott,New York,116
1938,Slugging Average,Johnny Mize,St. Louis,.614
1938,Stolen Bases,Stan Hack,Chicago,16
1938,Total Bases,Johnny Mize,St. Louis,326
1938,Triples,Johnny Mize,St. Louis,16
2016,Base on Balls,Paul Goldschmidt,Arizona,110
2016,Batting Average,DJ LeMahieu,Colorado,.348
2016,Doubles,Daniel Murphy,Washington,47
2016,Hits,Jean Segura,Arizona,203
2016,Home Runs,Nolan Arenado,Colorado,41
2016,Chris Carter,Milwaukee,,
2016,On Base Percentage,Joey Votto,Cincinnati,.434
2016,RBI,Nolan Arenado,Colorado,133
2016,Runs,Kris Bryant,Chicago,121
2016,Slugging Average,Daniel Murphy,Washington,.595
2016,Stolen Bases,Jonathan Villar,Milwaukee,62
2016,Total Bases,Nolan Arenado,Colorado,352
2016,Triples,Brandon Crawford,San Francisco,11
2016,Cesar Hernandez,Philadelphia,,
2016,Chris Owings,Arizona,,
1924,Base on Balls,Rogers Hornsby,St. Louis,89
1924,Batting Average,Rogers Hornsby,St. Louis,.424
1924,Doubles,Rogers Hornsby,St. Louis,43
